Pipeline,Mode,Classifier,Accuracy,F1-Score,ROC-AUC,PR-AUC,Train-Time(s),Inference-Time-Total(s),Test-Samples,Embeddings,Inference-Time-per-Sample(ms)
pipeline2_organic_bipia,normal,XGBoost,0.9828571428571428,0.983048453171352,0.9988230612244898,0.9988123287017958,27.55256938934326,0.1067733764648437,14000,QWEN3,0.0076266697474888
pipeline2_organic_bipia,user_intent_only,SVM,0.9907142857142858,0.9907735982966644,0.9986618775510204,0.9983816321671362,216.69267916679385,0.4772629737854004,14000,OPENAI,0.0340902124132428
pipeline1_alamsabi,context_only,SVM,0.9867857142857144,0.9868092691622103,0.9980378469387756,0.9974650988577016,36.848204612731934,1.662796974182129,14000,QWEN3,0.1187712124415806
pipeline2_organic_bipia,user_intent_only,LogisticRegression,0.9918571428571428,0.9919217687074828,0.9979338571428572,0.9975336248189788,6.336100339889526,0.0858697891235351,14000,OPENAI,0.0061335563659667
pipeline1_alamsabi,context_only,LogisticRegression,0.9863571428571428,0.9863717445594008,0.9978932551020409,0.9973788858440444,22.052417039871216,0.6456894874572754,14000,QWEN3,0.0461206776755196
pipeline1_alamsabi,context_only,XGBoost,0.9834285714285714,0.9835460992907802,0.9976371020408163,0.9970374836758196,13.423190832138062,0.0088119506835937,14000,OPENAI,0.0006294250488281
pipeline1_alamsabi,normal,SVM,0.9799285714285716,0.9799214005001786,0.9966840306122448,0.995924075944991,48.4146683216095,1.611628770828247,14000,QWEN3,0.1151163407734462
pipeline1_alamsabi,normal,LogisticRegression,0.9798571428571428,0.979839862739491,0.9966424591836732,0.995787035234065,29.14089035987854,0.6189675331115723,14000,QWEN3,0.0442119666508265
pipeline1_alamsabi,normal,XGBoost,0.9778571428571428,0.9780297661233168,0.9964010408163264,0.9955404564629358,12.4508159160614,0.004873514175415,14000,OPENAI,0.0003481081553867
pipeline2_organic_bipia,context_only,LightGBM,0.9595714285714284,0.959915014164306,0.9938208775510204,0.993680823672037,8.959040403366089,0.0973865985870361,14000,QWEN3,0.0069561856133597
pipeline1_alamsabi,context_only,LightGBM,0.9669285714285716,0.9672305187911387,0.9937049285714288,0.992565207855584,5.327357292175293,0.0139663219451904,14000,OPENAI,0.0009975944246564
pipeline2_organic_bipia,normal,LightGBM,0.9557142857142856,0.9561155152887882,0.9927187346938776,0.9926857256179904,10.124030351638794,0.0987410545349121,14000,QWEN3,0.0070529324667794
pipeline2_organic_bipia,context_only,XGBoost,0.9582857142857144,0.9592520234440411,0.9926283469387754,0.992100988494385,4.235831260681152,0.002723217010498,14000,MINILM,0.0001945155007498
pipeline2_organic_bipia,normal,XGBoost,0.9582142857142856,0.9591394845288818,0.9923424489795918,0.9916871138763288,4.281997442245483,0.003727912902832,14000,MINILM,0.0002662794930594
pipeline3_organic_injected,context_only,SVM,0.9565714285714284,0.9564469914040116,0.9921542857142857,0.9928282023511448,20.78151226043701,0.4749512672424316,14000,OPENAI,0.0339250905173165
pipeline3_organic_injected,context_only,LogisticRegression,0.9560714285714286,0.9560808398200386,0.9920333469387757,0.9926976318628608,9.52877640724182,0.0901455879211425,14000,OPENAI,0.0064389705657958
pipeline1_alamsabi,normal,LightGBM,0.9557142857142856,0.9560346050205644,0.9903613979591837,0.9888896232922348,5.197110652923584,0.0180339813232421,14000,OPENAI,0.0012881415230887
pipeline1_alamsabi,context_only,XGBoost,0.9522142857142856,0.9529171651770004,0.9880182857142856,0.9855022226278596,24.28584718704224,0.0911548137664794,14000,QWEN3,0.0065110581261771
pipeline2_organic_bipia,normal,RandomForest,0.9359285714285714,0.9363423461784116,0.9875683673469388,0.9879765316350811,29.51386260986328,0.2816729545593261,14000,QWEN3,0.0201194967542375
pipeline2_organic_bipia,user_intent_only,LogisticRegression,0.9450714285714286,0.945247419010324,0.9874410408163266,0.9866629344163452,1.6576581001281738,0.0200731754302978,14000,MINILM,0.0014337982450212
pipeline2_organic_bipia,context_only,RandomForest,0.9357142857142856,0.9356407322654462,0.9865842448979592,0.9870595133305142,10.584206342697144,0.1829142570495605,14000,QWEN3,0.0130653040749686
pipeline1_alamsabi,context_only,RandomForest,0.9459285714285716,0.9468286858186415,0.9861157448979592,0.9835416720744988,7.997817039489746,0.0750176906585693,14000,OPENAI,0.005358406475612
pipeline2_organic_bipia,user_intent_only,SVM,0.9477857142857142,0.9480344067676122,0.9858111632653062,0.9831702088360942,14.5641827583313,0.1167120933532714,14000,MINILM,0.0083365780966622
pipeline3_organic_injected,context_only,SVM,0.9378571428571428,0.9370841770321088,0.9849076326530612,0.9866131005117276,52.46973276138306,1.8028409481048584,14000,QWEN3,0.1287743534360613
